Turn,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent,GROUP A - Total nodes,GROUP A - Total edges,GROUP A - Average degree,GROUP A - Average degree centrality,GROUP A - Average closeness,GROUP A - Average degree connectivity,GROUP A - Average assortativity,GROUP A - Average node connectivity,GROUP A - Number of components,GROUP A - Number of strong components,GROUP A - Centrality entropy,GROUP A - Closeness entropy,GROUP A - Sparseness,GROUP B - Total classes,GROUP B - Total properties,GROUP B - Average population,GROUP B - Attribute richness,GROUP B - Relationship richness,GROUP B - Total axioms,GROUP C - Total triples,GROUP C - Total world instances,GROUP C - Total claims,GROUP C - Total perspectives,GROUP C - Total mentions,GROUP C - Total conflicts,GROUP C - Total sources,GROUP C - Total interactions,GROUP C - Total utterances,GROUP C - Ratio claim to triples,GROUP C - Ratio perspectives to triples,GROUP C - Ratio conflicts to triples,GROUP C - Ratio perspectives to claims,GROUP C - Ratio mentions to claims,GROUP C - Ratio conflicts to claims,GROUP C - Average perspectives per claim,GROUP C - Average mentions per claim,GROUP C - Average turns per interaction,GROUP C - Average claims per source,GROUP C - Average perspectives per source
0.0,0.14410678108696223,0.6100746191130397,0.001329569025,0.81609744,,,,,,,,,,2870.0,7906.0,5.509407665505226,0.0019203233410614244,0.0017210902516714033,0.8596768057594533,-0.11746526166007985,0.0,3.0,-0.11746526166007985,10.048989987248374,8.553952455944422,0.000958613070451262,294.0,267.0,4.442176870748299,0.14232209737827714,0.3037542662116041,2769.0,7906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.38098138592696373,0.68163854,0.796168,,,,,,,,,,2870.0,7906.0,5.509407665505226,0.0019203233410614244,0.0017210902516714033,0.8596768057594533,-0.11746526166007985,0.0,3.0,-0.11746526166007985,10.048989987248374,8.553952455944422,0.000958613070451262,294.0,267.0,4.442176870748299,0.14232209737827714,0.3037542662116041,2769.0,7906.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.2550937849075748,0.5959963050866223,0.99716645,0.74840045,,,,,,,,,,2870.0,7906.0,5.509407665505226,0.0019203233410614244,0.0017210902516714033,0.8596768057594533,-0.11746526166007985,0.0,3.0,-0.11746526166007985,10.048989987248374,8.553952455944422,0.000958613070451262,294.0,267.0,4.442176870748299,0.14232209737827714,0.3037542662116041,2769.0,7906.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0967779530518732,0.9857895,0.73552406,,,,,,,,,,2929.0,8021.0,5.476954592010925,0.0018705446010966274,0.0016962879805778137,0.8700331834873309,-0.11521514267001977,0.0,3.0,-0.11521514267001977,10.087153396139907,8.631596383954308,0.0009337873545539647,294.0,267.0,4.598639455782313,0.14232209737827714,0.3037542662116041,2840.0,8021.0,5.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.00037401820221917467,0.00012467273407305821,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0
4.0,0.5469692799117185,0.6707019981180535,0.98891413,0.67175364,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2929.0,8021.0,5.476954592010925,0.0018705446010966274,0.0016962879805778137,0.8700331834873309,-0.11521514267001977,0.0,3.0,-0.11521514267001977,10.087153396139907,8.631596383954308,0.0009337873545539647,294.0,267.0,4.598639455782313,0.14232209737827714,0.3037542662116041,2840.0,8021.0,5.0,3.0,1.0,1.0,0.0,2.0,,1.0,0.00037401820221917467,0.00012467273407305821,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0
5.0,0.3350360559359235,0.591594669055708,0.9958387,0.57062954,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2952.0,8072.0,5.468834688346884,0.0018532140590806114,0.0016931925814939544,0.8746769112647156,-0.11509386628396553,0.0,3.0,-0.11509386628396553,10.1027687001528,8.667033141051864,0.0009251455996944793,294.0,267.0,4.649659863945578,0.14232209737827714,0.3037542662116041,2874.0,8072.0,7.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0004955401387512388,0.0002477700693756194,0.0,0.5,0.5,0.0,1.0,1.0,2.0,2.0,2.0
6.0,0.5976024038974143,0.7733866019727089,0.9941179,0.5970521,2.75,3.5,3.5,3.25,3.75,3.0,3.5,3.5,1.75,2952.0,8072.0,5.468834688346884,0.0018532140590806114,0.0016931925814939544,0.8746769112647156,-0.11509386628396553,0.0,3.0,-0.11509386628396553,10.1027687001528,8.667033141051864,0.0009251455996944793,294.0,267.0,4.649659863945578,0.14232209737827714,0.3037542662116041,2874.0,8072.0,7.0,4.0,2.0,2.0,0.0,2.0,,2.0,0.0004955401387512388,0.0002477700693756194,0.0,0.5,0.5,0.0,1.0,1.0,2.0,2.0,2.0
7.0,0.44819346803836924,0.7513071969787876,0.9896955,0.6024414,2.75,3.5,3.5,3.25,3.75,3.0,3.5,3.5,1.75,2952.0,8072.0,5.468834688346884,0.0018532140590806114,0.0016931925814939544,0.8746769112647156,-0.11509386628396553,0.0,3.0,-0.11509386628396553,10.1027687001528,8.667033141051864,0.0009251455996944793,294.0,267.0,4.649659863945578,0.14232209737827714,0.3037542662116041,2874.0,8072.0,7.0,4.0,2.0,2.0,0.0,2.0,,2.0,0.0004955401387512388,0.0002477700693756194,0.0,0.5,0.5,0.0,1.0,1.0,2.0,2.0,2.0
8.0,0.2855142289047655,0.5626614950865723,0.9644173,0.65127516,3.0,3.5,3.25,3.25,3.25,3.25,3.0,3.5,2.0,2952.0,8072.0,5.468834688346884,0.0018532140590806114,0.0016931925814939544,0.8746769112647156,-0.11509386628396553,0.0,3.0,-0.11509386628396553,10.1027687001528,8.667033141051864,0.0009251455996944793,294.0,267.0,4.649659863945578,0.14232209737827714,0.3037542662116041,2874.0,8072.0,7.0,4.0,2.0,2.0,0.0,2.0,,2.0,0.0004955401387512388,0.0002477700693756194,0.0,0.5,0.5,0.0,1.0,1.0,2.0,2.0,2.0
9.0,0.7218320519683017,0.9601972250532628,0.11791346,0.66056406,3.0,3.5,3.25,3.25,3.25,3.25,3.0,3.5,2.0,2952.0,8072.0,5.468834688346884,0.0018532140590806114,0.0016931925814939544,0.8746769112647156,-0.11509386628396553,0.0,3.0,-0.11509386628396553,10.1027687001528,8.667033141051864,0.0009251455996944793,294.0,267.0,4.649659863945578,0.14232209737827714,0.3037542662116041,2874.0,8072.0,7.0,4.0,2.0,2.0,0.0,2.0,,2.0,0.0004955401387512388,0.0002477700693756194,0.0,0.5,0.5,0.0,1.0,1.0,2.0,2.0,2.0
